vid	vendorname
1529	Datalogic Scanning, Inc.
1535	LeCroy Corporation
1539	Novatek Microelectronics Corp.
1545	SMK Manufacturing Inc.
1551	Joinsoon Electronics Mfg. Co., Ltd.
1553	Totoku Electric Co., LTD.
1555	TransAct Technologies Incorporated
1556	Bio-Rad Laboratories
1561	Seiko Instruments Inc.
1571	Littelfuse, Inc.
1578	MosArt Semiconductor Corp.
1582	MAIN SUPER ENTERPRISES CO.,LTD.
1588	Micron Technology, Inc.
1592	Avision, Inc.
1604	TEAC Corporation
1611	Analog Devices, Inc. Development Tools
1612	Ji-Haw Industrial Co., Ltd
1614	Suyin Corporation
1615	WIBU-Systems AG
1621	Space Shuttle Hi-Tech Co.,Ltd.
1622	Glory Mark Electronic Ltd.
1623	Tekcon Electronics Corp.
1624	Sigma Designs, Inc.
1631	Good Way Technology Co., Ltd. & GWC technology Inc
1632	TSAY-E (BVI) International Inc.
1633	Hamamatsu Photonics K.K.
1642	Total Technologies, Ltd.
1647	SigmaTel, Inc.
1652	Key Mouse Electronic Enterprise Co., Ltd.
1656	ACARD Technology Corp.
1659	Prolific Technology, Inc.
1662	Intermec Technologies (S) Pte Ltd.
1680	Golden Bridge Electech Inc.
1683	Hagiwara Sys-Com Co., Ltd.
1689	Tektronix, Inc.
1690	+ Askey Computer Corporation
1699	Saitek PLC
1709	Greatland Electronics Taiwan Ltd.
1710	Professional Multimedia Testing Centre
1720	Pixela Corporation
1724	Oki Data Corporation
1727	Leoco Corporation
1732	Bizlink International Corporation
1736	SIIG, Inc.
1747	Mitsubishi Electric Corporation
1758	+ Heisei Electronics Co. Ltd.
1802	Oki Electric Industry Co., Ltd.
1805	Comoss Electronic Co., Ltd.
1806	Excel Cell Electronic Co., Ltd.
1809	Magic Control Technology Corp.
1816	Imation Corp.
1821	Dialogic Corporation
1846	Lorom Industrial Co., Ltd.
1848	+ Mad Catz, Inc.
1862	ONKYO Corporation
1869	+ Micronas GmbH
1891	M-Audio
1892	Cyber Power Systems, Inc.
1894	Jess-Link Products Co., Ltd. (JPC)
1899	OMNIKEY
1901	Denso Corporation
1904	Welch Allyn, Inc - Medical Division
1911	Comda Enterprise Corporation
1913	Fairchild Semiconductor
1921	SanDisk Corporation
1929	+ Logitec Corporation
1936	+ Pro-Image Manufacturing Co., Ltd
1937	Copartner Technology Corporation
1954	National Technical Systems
1970	+ Motorola BCS
1971	Plustek, Inc.
1972	OLYMPUS CORPORATION
1975	TIME Interconnect Ltd.
1988	Datafab Systems Inc.
1994	AVerMedia Technologies, Inc.
1999	Casio Computer Co., Ltd.
2001	D-Link Corporation
2010	Arasan Chip Systems Inc.
2038	Circuit Assembly Corp.
2039	Century Corporation
2041	Dotop Technology, Inc.
2058	Evermuch Technology Co., Ltd.
2088	+ Sato Corporation
2096	Palm Inc.
2101	Action Star Enterprise Co., Ltd.
2112	Argosy Research Inc.
2159	MEC IMEX INC/HPT
2164	A-Tec Subsystem, Inc.
2183	Hannstar Electronics Corp.
2205	Icron Technologies Corporation
2222	+ Macally (Mace Group, Inc.)
2233	RadioShack Corporation
2235	Texas Instruments Japan
2247	TAI TWUN ENTERPRISE CO., LTD.
2248	2Wire, Inc
2250	AIPTEK International Inc.
2269	Billionton Systems, Inc.
2276	Pioneer Corporation
2278	GEMPLUS
2288	CardScan Inc.
2294	Logic 3 International Limited
2297	Wipro Technologies
2310	FARADAY Technology Corp.
2313	Audio-Technica Corp.
2316	+ Silicon Motion, Inc. - Taiwan
2334	+ Garmin International
2338	Dymo Corporation
2344	Oxford Semiconductor Ltd.
2352	Toshiba Corporation
2362	Pixart Imaging, Inc.
2363	Plextor LLC
2366	J.S.T. Mfg. Co., Ltd.
2371	HCL Technologies Ltd.
2385	Kingston Technology Company
2389	NVIDIA
2390	BSquare Corporation
2391	Agilent Technologies, Inc.
2395	Medialogic Corporation
2397	Polycom, Inc.
2419	Axalto
2438	Matsushita Electric Works, Ltd.
2468	Contech Research, Inc.
2472	Lin Shiung Enterprise Co., Ltd.
2475	+ Japan Cash Machine Co., Ltd.
2497	ARRIS International
2498	NISCA Corporation
2508	Workbit Corporation
2511	Electronics Testing Center, Taiwan
2521	Jungo
2522	A-FOUR TECH CO., LTD.
2533	Jo-Dan International, Inc.
2554	+ Mtek Vision
2578	Cambridge Silicon Radio Ltd.
2580	Spacelabs Healthcare
2582	Trek Technology (S) Pte Ltd
2583	PENTAX Corporation
2593	Medtronic Physio Control Corp.
2631	Hirose Electric
2632	I/O Interconnect
2636	COMPUTEX Co., Ltd.
2640	Mimaki Engineering Co., Ltd.
2652	Broadcom Corp.
2667	Green House Co., Ltd.
2685	NSTL, Inc.
2689	Chesen Electronics Corp.
2702	Japan Aviation Electronics Industry Ltd. (JAE)
2703	Young Chang Co. Ltd.
2727	Wincor Nixdorf GmbH & Co KG
2755	SANYO Semiconductor Company Micro
2760	Vimicro Corporation
2787	Allion Test Labs, Inc.
2800	Option NV
2816	INGENICO
2821	+ ASUSTek Computer Inc.
2846	Electronic Warfare Assoc., Inc. (EWA)
2849	Yokogawa Electric Corporation
2851	Pan-Asia Electronics Co., Ltd.
2856	Kenwood Corporation
2871	Hitachi ULSI Systems Co., Ltd.
2876	Olivetti S.p.A
2888	TechnoTrend AG
2894	Musical Electronics Ltd.
2900	Sinbon Electronics Co., Ltd.
2922	Maxim Integrated Products
2965	ASIX Electronics Corporation
2967	O2 Micro, Inc.
2996	High Tech Computer, Corp. (HTC)
2997	Murata Manufacturing Co., Ltd.
3034	Realtek Semiconductor Corp.
3035	Ericsson AB
3044	Elka International Ltd.
3046	+ Dong Guan Humen Wonderful Wire Cable Factory
3054	LTK International Limited
3062	Addonics Technologies, Inc.
3064	Fujitsu Siemens Computers GmbH
3078	Hasbro, Inc.
3083	Dura Micro, Inc.
3100	Hang Zhou Silan Microelectronics Co. Ltd
3106	TallyGenicom L.P.
3108	Taiyo Yuden
3132	+ Radius Co., Ltd.
3141	Sonix Technology Co., Ltd.
3154	Sealevel Systems, Inc.
3156	Glory Ltd.
3157	+ Spectrum Digital Inc.
3158	Billion Bright Limited
3161	+ Dong Guan Shinko Wire Co., Ltd.
3170	Chant Sincere Co., Ltd
3190	Solid State System Co., Ltd.
3209	Honda Tsushin Kogyo Co., Ltd
3245	Motorola GEMS
3255	Singatron Enterprise Co. Ltd.
3259	Shanghai Darong Electronics Co., Ltd.
3263	Union Genius Computer Co., Ltd
3268	emsys GmbH
3294	Z-Com INC.
3313	e-Conn Electronic Co., Ltd.
3314	ENE Technology Inc.
3315	Atheros Communications, Inc.
3351	NALTEC, Inc.
3353	Hank Connection Industrial Co., Ltd.
3386	+ Posiflex Technologies, Inc.
3393	Ta Yun Terminals Industrial Co., Ltd.
3394	Full Der Co., Ltd.
3402	NF Corporation
3403	Grape Systems Inc.
3413	+ ASKA Technologies Inc.
3425	Meilu Electronics (Shenzhen) Co., Ltd.
3426	+ Darfon Electronics Corp.
3434	+ eMegaTech International Corp.
3440	Try Computer Co. LTD.
3450	MARX CryptoTech LP
3452	Taiwan Line Tek Electronic Co., Ltd.
3461	+ Identix Incorporated of L-1 Identity Solutions
3468	C-Media Electronics Inc.
3471	Pitney Bowes
3484	Chee Chen Hi-Technology Co., Ltd.
3489	+ Suzhou Peter's Precise Industrial Co., Ltd.
3495	IOGEAR, Inc.
3504	Micro-Star International Co., Ltd.
3524	Macpower & Tytech Technology Co., LTD.
3525	SDK Co, Ltd.
3537	Contek Electronics Co., Ltd.
3538	+ Power Quotient International Co., Ltd.
3540	Custom Engineering SPA
3546	+ Integrated Silicon Solution, Inc
3552	BD Consumer Healthcare
3562	UTECH Electronic (D.G.) Co., Ltd.
3607	Walex Electronic Ltd.
3618	Symbian Ltd.
3619	Liou Yuane International Ltd (Liou Yuane Enterprise Co., Ltd.)
3621	VinChip Systems, Inc.
3636	Micro Computer Control Corp.
3640	+ Stratitec, Inc.
3641	Smart Modular Technologies, Inc.
3642	Neostar Technology Co., Ltd.
3652	Sun-Riseful Technology Co., Ltd.
3654	+ Delphi Corporation
3675	Union Power Information Industrial Co., Ltd.
3677	Neltron Industrial Co., Ltd.
3690	Megawin Technology Co., Ltd.
3698	Hsi-Chin Electronics Co., Ltd.
3714	Ching Tai Electric Wire & Cable Co., Ltd.
3715	Shin An Wire & Cable Co.
3724	Well Force Electronic Co., Ltd
3725	MediaTek Inc.
3730	+ C's Glory Enterprise Co., Ltd.
3739	Adtec Corporation
3744	Ours Technology Inc.
3751	MSL Enterprises Corp.
3775	+ Omega Technology Inc.
3778	+ Sweetray Industrial Ltd.
3779	AXELL Co., Ltd.
3782	InnoVISION Multimedia Limited
3838	WEM Technology Inc.
3848	CSL Wire & Plug (Shen Zhen) Company
3854	+ Energyfull & Hi-Top International Ltd.
3868	Funai Electric Co., Ltd.
3872	GENNUM Corporation
3886	Good Man Corporation
3890	YFC-BonEagle Electric Co., Ltd.
3896	Nien-Yi Industrial Corp.
3916	Worldwide Cable Opto Corp.
3922	Wing Kei Electrical Co., Ltd.
3923	Taiyo Cable (Dongguan) Co. Ltd.
3924	Kawai Musical Instruments Mfg. Co., Ltd.
3944	TEPCO UQUEST, LTD.
3945	Dionex Corporation
3979	Yazaki Corporation
3991	CviLux Corporation
4004	ATL Technology
4016	Haurtian Wire & Cable Co., Ltd.
4018	Conteck Co., Ltd.
4024	Wistron Corporation
4038	Dataplus Supplies, Inc.
4046	Sony Ericsson Mobile Communications AB
4049	Giant Electronics Ltd.
4087	Chi Shing Computer Accessories Co., Ltd.
4096	Speed Tech Corp.
4100	LG Electronics Inc.
4105	Lumanate, Inc.
4114	+ SDKM Fibres, Wires & Cables Berhad
4130	Shinko Shoji Co., Ltd.
4134	Newly Corporation
4139	Infotronic America, Inc.
4145	+ Comax Technology Inc.
4146	+ C-One Technology Corp.
4168	Targus Group International
4172	AMCO TEC International Inc.
4184	Western Digital Technologies, Inc.
4185	Giesecke & Devrient GmbH
4188	Freeway Electronic Wire & Cable (Dongguan) Co., Ltd.
4189	Delkin Devices, Inc.
4191	Chin Shong Enterprise Co., Ltd.
4227	Canon Electronics Inc.
4228	Pantech Co., Ltd.
4235	Grand-tek Technology Co., Ltd.
4236	Robert Bosch GmbH
4238	Lotes Co., Ltd.
4266	Cables To Go
4267	USI Co., Ltd.
4270	Princeton Technology Corp.
4280	+ DIBCOM
4283	TM Technology Inc.
4292	Silicon Laboratories, Inc.
4301	Kycon Inc.
4310	Actions Semiconductor Co., Ltd.
4349	+ Animation Technologies Inc.
4370	YM Electric Co., Ltd.
4371	Medion AG
4382	VSO Electric Co., Ltd.
4398	Master Hill Electric Wire and Cable Co., Ltd.
4400	Tenx Technology, Inc.
4422	Shimane SANYO Electric Co., Ltd.
4429	Alpha Imaging Technology Corp.
4443	Salix Technology Co., Ltd.
4463	Silicon 10 Technology Corp.
4469	Sheng Yih Technologies Co., Ltd.
4488	Bloomberg L.P.
4506	Dong Guan Jalink Electronices Co.,Ltd (ZHAN QI Technology Co., Ltd.)
4522	GlobalMedia Group, LLC
4528	ATECH Flash Technology
4582	+ K.I. Technology Co. Ltd.
4622	HUDSON SOFT CO., LTD.
4633	COMPAL Communications, Inc.
4643	Skycable Enterprise. Co., Ltd.
4656	Chipidea-Microelectronica, S.A.
4683	NYKO Technologies, Inc.
4703	A-DATA Technology Co., Ltd.
4706	+ Micro Vision Co., Ltd.
4708	Covidien Energy-based Devices (Valleylab)
4716	Aristocrat Technologies
4717	Bel Stewart
4719	+ TwinMOS Technologies Inc.
4737	Gean Sen Electronic Co., Ltd.
4742	MARVELL SEMICONDUCTOR, INC.
4756	RISO KAGAKU CORP.
4775	Trendchip Technologies Corp.
4779	Honey Bee Electronic International Ltd.
4792	Zhejiang Xinya Electronic Technology Co., Ltd.
4794	+ Sony Computer Entertainment America
4818	Line Tech Industrial Co., Ltd.
4823	Better Wire Factory Co., Ltd.
4841	+ Mindspeed Technologies
4853	+ Dynamic System Electronics Corp.
4855	Memorex Products, Inc.
4871	+ USBest Technology Inc.
4907	Konica Minolta Holdings, Inc.
4908	+ Le Prestique International (H.K.) Ltd.
4936	Katsuragawa Electric Co., Ltd.
4970	Pelco
4971	STEC
4976	+ Swissbit AG
4982	Vimtron Electronics Co., Ltd.
5008	+ TOMTOM B.V.
5014	+ Silicon Storage Technology, Inc.
5041	+ Cisco-Linksys, LLC
5043	+ Nippon Dics Co., Ltd.
5054	Ricoh Printing Systems, Ltd.
5066	JyeTai Precision Industrial Co., Ltd.
5071	Wisair Ltd.
5084	ALEREON, Inc.
5085	i.Tech Dynamic Limited
5089	Kaibo Wire & Cable (Shenzhen) Co., Ltd.
5094	+ TechnoScope Co., Ltd.
5117	Initio Corporation
5118	Phison Electronics Corp.
5120	+ Axxion Group Corp.
5122	Bowe Bell & Howell
5123	+ Sitronix Technology Corp.
5134	Telechips, Inc.
5136	Novatel Wireless, Inc.
5145	Ability Enterprise Co., Ltd.
5161	Vega Technologies Industrial (Austria) Co.
5168	RedOctane
5169	Pertech Resources, Inc.
5173	Wistron NeWeb Corp.
5174	Denali Software, Inc.
5180	Altek Corporation
5206	Extending Wire & Cable Co., Ltd.
5217	Staccato Communications
5234	Hangzhou Huawei-3Com Tech. Co., Ltd.
5242	Formosa21 Inc.
5247	Hama GmbH & Co., KG
5255	DSP Group, Ltd.
5262	EVATRONIX SA
5271	Panstrong Company Ltd.
5293	CTK Corporation
5294	Printronix Inc.
5295	ATP Electronics Inc.
5296	StarTech.com Ltd.
5312	Rockwell Automation, Inc.
5325	+ Moai Electronics Corporation
5336	JAMER INDUSTRIES CO., LTD.
5341	Raritan Computer, Inc.
5349	SAIN Information & Communications Co., Ltd.
5357	Shure Inc.
5376	Ellisys
5377	Pine-Tum Enterprise Co., Ltd.
5393	BridgeCo, AG
5395	+ Hypercom
5398	Skymedi Corporation
5404	VeriSilicon Holdings Co., Ltd.
5421	JMicron Technology Corp.
5422	HLDS (Hitachi-LG Data Storage, Inc.)
5440	Phihong Technology Co., Ltd.
5451	PNY Technologies Inc.
5453	ConnectCounty Holdings Berhad
5454	D & M Holdings, Inc.
5463	+ OQO
5480	Sunf Pu Technology Co., Ltd
5487	Quantum Corporation
5488	Alltop Technology Co., Ltd.
5499	Ketron SRL
5502	U-MEDIA Communications, Inc.
5510	+ Sitor Electronics (Shenzhen) Co., Ltd.
5511	SMA Technologie AG
5517	Oakley Inc.
5528	Kunshan Guoji Electronics Co., Ltd.
5538	Freescale Semiconductor, Inc.
5540	Afa Technologies, Inc.
5544	Teams Power Limited
5545	+ Gemtek Technology Co., Ltd.
5546	Gearway Electronics (Dong Guan) Co., Ltd.
5576	+ KTF Technologies
5577	D-Box Technologies
5589	Coulomb Electronics Ltd.
5596	Hynix Semiconductor Inc.
5600	Seong Ji Industrial Co., Ltd.
5612	Belcarra Technologies Corp.
5622	+ ASICS World Services Ltd.
5645	Samtec
5657	L & K Precision Technology Co., Ltd.
5658	+ Celeraise Investments Ltd.
5665	Wionics Research
5672	Stonestreet One, Inc.
5674	+ Airgo Networks Inc.
5679	WiQuest Communications, Inc.
5681	Focus Enhancements
5694	HongLin Electronics Co., Ltd.
5706	ChipX
5728	Creatix Polymedia GmbH
5753	Total Phase
5762	Maxwise Production Enterprise Ltd.
5764	Godspeed Computer Corp.
5766	ZOOM Corporation
5767	Kingmax Digital Inc.
5782	+ Hitachi Advanced Digital, Inc.
5797	Shenzhen Zhengerya Cable Co., Ltd.
5804	+ Dongguan ChingLung Wire & Cable Co., Ltd.
5836	silex technology, Inc.
5843	Frontline Test Equipment, Inc.
5848	+ CMOTECH Co., Ltd.
5855	King Billion Electronics Co., Ltd.
5877	Futurelogic Inc.
5895	ARTIMI
5901	Avnera
5942	Canon Imaging System Technologies Inc.
5943	Hong Kong Applied Science and Technology Research Inst.
5955	General Atomics
5964	ASMedia Technology Inc.
5977	LucidPort Technology, Inc.
6001	+ Shenzhen Alex Connector Co., Ltd.
6002	System Level Solutions, Inc.
6018	Spreadtrum Communications Inc.
6020	TopSeed Technology Corp.
6024	ShenZhen Litkconn Technology Co., Ltd.
6038	Printrex, Inc.
6039	JALCO CO., LTD.
6053	Advanced Connection Technology Inc.
6055	MICOMSOFT CO., LTD.
6078	+ Dongguan Yangming Precision of Plastic Metal Elec.Co.Lt
6083	Singim International Corp.
6095	Hip Hing Cable & Plug Mfy. Ltd.
6096	Sanford L.P.
6099	Korea Techtron Co., Ltd.
6121	DisplayLink (UK) Ltd.
6123	+ Cornice, Inc.
6127	Lenovo
6133	K.K. Rocky
6134	Unicomp, Inc
6184	+ TSR Silicon Resources, Inc.
6185	Suzhou YuQiu Technology Co., Ltd.
6193	Gwo Jinn Industries Co., Ltd.
6194	Huizhou Shenghua Industrial Co., Ltd.
6226	+ Tenor Electronics Corp.
6228	Memory Devices Ltd.
6241	Tech Technology Industrial Company
6242	Teridian Semiconductor Corp.
6257	Aveo Technology Corp.
6259	+ Etrovision Technology
6271	Siano Mobile Silicon Ltd.
6285	+ Across Techno, Inc.
6292	SyntheSys Research, Inc.
6295	+ Evertop Wire Cable Co.
6326	Mikkon Technology Limited
6327	+ Zotek Electronic Co., Ltd.
6328	+ Securewave SA
6357	Starline International Group Limited
6371	Fitipower Integrated Technology Inc
6397	FineArch Inc.
6413	Motorola GSG
6420	Alco Digital Devices Limited
6421	Nordic Semiconductor ASA
6425	Pixelworks
6447	+ Avago Technologies, Pte.
6448	+ Shenzhen Xianhe Technology Co., Ltd.
6449	Ningbo Broad Telecommunication Co., Ltd.
6473	Lab126
6481	+ Hyperstone AG
6483	Ironkey Inc.
6484	+ Radiient Technologies
6503	CASIO HITACHI Mobile Communications Co., Ltd.
6507	Wispro Technology Inc.
6512	Dane-Elec Corp. USA
6517	+ Dongguan Guneetal Wire & Cable Co., Ltd.
6518	+ Chipsbrand Microelectronics (HK) Co., Ltd.
6537	Nuconn Technology Corp.
6541	Fairchild Imaging
6543	Beceem Communications Inc.
6544	Acron Precision Industrial Co., Ltd.
6556	Richtek Technology Corp.
6558	+ The Imaging Source Europe GmbH
6559	Benica Corporation
6568	Biforst Technology Inc.
6581	B & W Group
6582	Infotech Logistic, LLC
6607	Parrot SA
6625	WeiDuan Electronic Accessory (S.Z.) Co., Ltd.
6632	Industrial Technology Research Institute
6639	Pak Heng Technology (Shenzhen) Co., Ltd.
6655	Best Buy
6664	Bellwood International, Inc.
6666	USB-IF non-workshop
6674	KES Co., Ltd.
6693	Amphenol East Asia Ltd.
6698	Seagate Branded Solutions
6709	Astec Power, a division of Emerson Network Power
6710	Biwin Technology Ltd.
6720	Terminus Technology Inc.
6721	Action Electronics Co., Ltd.
6730	Silicon Image
6731	SafeBoot International B.V.
6753	Abbott Diabetes Care
6762	Spansion Inc.
6765	SamYoung Electronics Co., Ltd
6766	Global Unichip Corp.
6767	Sagem Orga GmbH
6772	Oberthur Technologies
6777	Bayer Health Care LLC
6779	Lumberg Connect GmbH
6781	+ Systex Corporation
6786	Proconn Technology Co., Ltd.
6793	Dynalith Systems Co., Ltd.
6794	+ Simula Technology Inc.
6795	SGS Taiwan Ltd.
6807	+ XM Satellite Radio Inc.
6808	Leica Camera AG
6809	+ Asia Tai Technology (Dongguan) Co., Ltd.
6810	+ Verari Systems, Inc.
6820	Data Drive Thru, Inc.
6821	UBeacon Technologies, Inc.
6822	eFortune Technology Corp.
6830	Johnson Component & Equipments Co., Ltd.
6831	+ Intellectual Property Library Company
6832	+ DAEWOO Electronic Components Co., Ltd.
6849	+ LIANHE Technologies, Inc.
6859	Salcomp Plc
6865	Desay Wire Co., Ltd.
6867	+ Advanced Technetix, Inc.
6884	ic-design Reinhard Gottinger GmbH
6885	+ Shenzhen Jian Duan Hardware Electronic Co., Ltd.
6893	High Top Precision Electronic Co., Ltd.
6894	Dongguan Chang'an Jinxia Rex Electronics Factory
6895	Conntech Electronic (Suzhou) Corporation
6902	+ SL International Ltd.
6925	+ SmarDTV
6939	+ Shenzhen MD Electric Co., Ltd.
6940	CORSAIR Memory Inc.
6944	MStar Semiconductor, Inc.
6946	WiLinx Corp.
6950	+ Cellex Power Products, Inc.
6951	+ Current Electronics Inc.
6952	+ NAVIsis Inc.
6962	Ugobe Life Forms, Inc.
6966	ViXS Systems, Inc.
6975	+ Generalplus Technology Inc.
6981	+ Cyan Technology Ltd.
6983	Energizer Holdings, Inc.
6984	Plastron Precision Co., Ltd.
7001	K.S. Terminals Inc.
7002	Chao Zhou Kai Yuan Electric Co., Ltd.
7013	The Hong Kong Standards and Testing Centre Ltd.
7026	+ Atergi Technology Co., Ltd.
7030	+ Legend Silicon Corp.
7046	Dongguan Guanshang Electronics Co., Ltd.
7048	ShenMing Electron (Dong Guan) Co., Ltd.
7052	+ Altium Limited
7053	+ e-MOVE Technology Co., Ltd.
7054	Amlogic, Inc.
7055	+ MA LABS, Inc.
7064	+ YMax Communications Corp.
7065	+ Shenzhen Yuanchuan Electronic
7073	JINQ CHERN ENTERPRISE CO., LTD.
7074	+ Lite Metals & Plastic (Shenzhen) Co., Ltd.
7080	+ China Telecommunication Technology Labs
7099	+ T & A Mobile Phones
7108	Ford Motor Co.
7109	+ AVIXE Technology (China) Ltd.
7118	Contac Cable Industrial Limited
7119	+ Sunplus Innovation Technology Inc.
7120	+ Hangzhou Riyue Electronic Co., Ltd.
7134	+ P-TWO INDUSTRIES, INC.
7151	+ Shenzhen Tongyuan Network-Communication Cables Co., Ltd
7152	RealVision Inc.
7157	Extranet Systems Inc.
7158	Orient Semiconductor Electronics, Ltd.
7170	Kreton Corporation
7172	QNAP System Inc.
7181	Relm Wireless
7184	Lanterra Industrial Co., Ltd.
7187	ALECTRONIC Limited
7194	Datel Electronics Ltd.
7195	Volkswagen of America, Inc.
7199	Goldvish S.A.
7200	Fuji Electric Device Technology Co., Ltd.
7201	ADDMM LLC
7202	Zhongshan Chiang Yu Electric Co., Ltd.
7206	Shanghai Haiying Electronics Co., Ltd.
7207	HuiYang D & S Cable Co., Ltd.
7217	LS Cable Ltd.
7223	Authorizer Technologies, Inc.
7229	Nonin Medical Inc.
7230	Wep Peripherals
7241	Cherng Weei Technology Corp.
7275	Philips & Lite-ON Digital Solutions Corporation
7276	Skydigital Inc.
7287	Kaetat Industrial Co., Ltd.
7288	Datascope Corp.
7289	Unigen Corporation
7290	LighTuning Technology Inc.
7291	Luxshare Precision Industry (Shenzhen) Co., Ltd.
7304	Somagic, Inc.
7305	Hongkong Weidida Electron Limited

7310	ASTRON INTERNATIONAL CORP.
7320	ALPINE ELECTRONICS, INC.
7328	ACCARIO Inc.
7329	Symwave, Inc.
7347	Aces Electronic Co., Ltd.
7348	OPEX CORPORATION
7358	Luminary Micro Inc.
7359	FORTAT SKYMARK INDUSTRIAL COMPANY
7360	PlantSense
7370	NextWave Broadband Inc.
7373	Bodatong Technology (Shenzhen) Co., Ltd.
7380	adp corporation
7381	Firecomms Ltd.
7382	Antonio Precise Products Manufactory Ltd.
7390	Telecommunications Technology Association (TTA)
7391	WonTen Technology Co., Ltd.
7392	EDIMAX TECHNOLOGY CO., LTD.
